697,542
995,893
408,907
893,282
313,566
964,183
743,40
241,491
35,991
699,136
970,603
200,732
967,199
521,824
473,278
347,457
324,773
460,152
331,186
197,390
774,494
758,549
485,656
938,190
326,51
304,567
165,576
906,352
508,347
793,679
38,430
611,673
339,558
716,978
847,535
242,61
371,193
173,850
566,907
412,399
905,46
920,500
927,865
371,913
254,979
614,684
841,422
292,172
668,298
788,698
241,230
513,152
762,255
199,330
716,272
181,411
830,669
490,309
597,806
911,931
877,212
242,138
624,989
232,970
749,304
499,106
666,746
436,226
333,877
849,387
846,509
690,845
671,693
151,226
662,390
586,859
162,392
235,965
836,254
81,63
148,501
565,716
812,235
933,530
685,485
372,990
780,194
158,500
783,720
830,674
542,769
340,494
972,343
995,93
632,3
151,607
253,471
186,635
109,407
231,530
721,360
764,403
700,804
618,688
862,757
448,304
761,362
937,417
31,324
786,325
216,115
553,306
247,444
647,88
920,442
876,103
658,434
25,629
207,846
48,779
623,278
494,74
35,522
186,822
775,741
202,822
282,383
729,896
447,361
395,872
988,272
101,388
551,577
191,793
744,26
140,452
887,632
835,39
66,401
474,260
126,874
60,400
18,684
770,406
312,245
936,201
970,306
770,300
17,145
204,15
592,786
903,387
977,422
412,540
331,930
647,169
624,260
364,706
572,99
162,620
963,810
381,182
154,418
307,576
872,424
542,342
71,788
208,451
876,225
97,553
932,42
29,665
903,998
660,171
769,195
780,304
86,199
956,616
982,695
585,888
422,906
397,873
354,754
815,211
343,66
672,904
681,259
832,942
484,780
343,393
356,496
925,579
702,403
673,873
147,896
70,323
153,346
738,463
993,379
305,729
673,348
813,553
535,550
551,875
383,579
576,484
272,737
580,211
893,368
393,508
184,205
249,915
495,101
662,103
118,597
968,629
676,360
678,598
341,306
527,202
666,372
732,488
913,885
337,865
798,769
132,976
90,998
720,893
361,619
773,817
262,292
9,28
579,23
370,656
748,154
663,830
417,364
947,551
385,221
410,27
203,50
425,96
657,805
764,125
3,361
9,725
258,517
734,173
567,929
458,106
904,99
304,344
474,433
292,452
671,8
157,964
481,28
120,742
932,682
584,430
447,144
18,3
803,2
498,989
267,568
790,400
565,976
117,353
702,607
775,709
728,176
732,727
999,652
780,700
729,462
105,648
906,654
881,852
822,522
874,978
233,399
474,473
638,197
611,521
364,693
53,996
547,235
749,65
696,733
101,606
606,572
104,125
627,539
983,406
537,478
305,547
324,352
758,823
155,143
220,494
24,76
996,77
153,549
974,546
406,100
684,435
36,14
302,244
934,996
184,150
457,435
692,366
294,439
238,489
199,347
676,397
850,573
534,475
558,350
545,931
870,756
458,213
72,716
135,803
119,226
443,526
652,762
915,54
685,223
660,757
401,390
677,473
368,274
387,806
673,924
544,205
990,513
115,860
452,49
672,248
15,506
284,616
732,173
26,691
483,470
999,441
463,840
317,971
797,491
247,67
453,52
231,244
216,829
552,537
185,377
300,903
61,613
106,584
145,411
139,18
158,236
861,544
103,378
172,254
812,458
256,397
132,458
441,730
410,879
80,361
3,489
692,445
630,252
755,275
528,294
540,523
404,857
795,571
158,220
763,816
872,912
459,72
185,530
114,891
746,254
232,873
365,668
511,416
914,595
85,479
12,677
280,994
882,540
830,639
45,101
242,987
534,500
130,566
305,194
386,814
248,686
738,398
263,840
814,32
507,433
703,269
333,588
976,376
617,616
464,668
330,462
47,160
813,866
932,649
298,181
395,824
169,544
677,950
104,437
238,478
990,466
67,165
820,708
489,883
369,476
171,711
118,212
865,505
545,55
279,179
396,191
117,91
581,752
765,81
37,389
249,933
110,134
799,655
295,401
703,330
457,121
236,202
248,445
354,732
723,806
721,363
301,140
469,571
219,408
215,767
519,445
907,35
742,645
213,651
942,859
871,479
88,805
24,343
594,62
61,432
353,968
591,184
95,398
198,998
807,849
552,461
201,836
741,810
695,640
908,779
78,761
105,818
451,768
619,244
899,374
541,467
692,925
532,861
463,858
150,223
999,372
43,815
547,387
464,280
337,538
116,978
174,116
177,316
313,712
288,39
404,923
662,630
825,112
631,707
637,832
583,659
251,47
271,563
690,953
31,347
627,404
24,930
873,35
248,460
16,424
9,674
441,498
725,72
626,540
764,748
867,602
885,438
668,937
973,416
333,76
790,234
761,575
404,574
307,239
578,186
399,705
834,844
647,557
550,551
763,930
579,304
126,394
123,990
363,828
66,810
238,58
615,798
450,877
485,856
33,198
382,685
711,362
645,252
561,165
877,920
440,17
151,701
353,641
39,274
657,123
346,442
790,227
60,33
930,295
700,474
552,224
5,285
457,368
233,98
312,497
933,575
859,323
484,721
122,560
749,209
478,283
67,742
494,481
768,612
512,595
658,426
213,517
665,992
891,196
46,798
128,259
115,723
235,95
507,424
680,738
634,100
569,333
185,17
719,909
27,357
734,373
233,784
252,863
741,457
938,12
731,521
399,167
71,499
730,287
422,401
742,851
153,315
206,613
971,155
239,834
163,711
859,6
611,142
874,522
950,277
35,822
934,771
752,754
110,865
804,930
948,779
650,833
986,368
549,524
603,67
486,614
761,335
162,639
410,831
74,9
365,386
545,922
333,104
357,374
828,346
128,556
277,303
817,849
477,520
263,446
307,210
779,78
624,455
898,875
463,295
293,549
478,825
233,939
680,156
66,418
506,752
685,266
354,792
745,146
926,660
721,86
964,815
333,175
490,526
370,894
686,63
543,91
43,96
278,584
163,853
561,872
896,297
919,548
691,41
272,776
824,393
891,874
843,864
262,169
189,651
453,774
600,585
538,508
254,549
664,632
343,605
967,749
982,465
320,945
769,926
26,66
122,617
125,904
420,593
810,984
789,703
228,679
437,39
255,961
22,237
287,360
153,348
8,764
231,703
418,457
957,951
6,320
168,639
715,855
44,209
767,449
503,357
821,550
76,386
753,291
956,734
206,478
571,436
